node_id,longitude,latitude,gdp,pop,public_administration_services,utility_land,commercial_services,residential_land,industrial_land,green_square_land,road_transportation_land
238,121.094871,30.86920802,101.5718346,9360,0.186440678,0,0.220338983,0.050847458,0.423728814,0.016949153,0.101694915
239,121.1128373,30.86920802,15.12321186,2121,0,0,0.333333333,0,0,0,0.666666667
240,121.1308036,30.86920802,52.38936353,1311,0,0,0.090909091,0.363636364,0.272727273,0,0.272727273
241,121.1487699,30.86920802,19.90318775,1773,0.111111111,0,0.024691358,0.814814815,0.037037037,0.012345679,0
242,121.1667363,30.86920802,15.69685268,4469,0,0,0,0.986111111,0.013888889,0,0
243,121.1847026,30.86920802,30.01438046,2078,0.193548387,0,0.032258065,0.451612903,0.193548387,0.032258065,0.096774194
244,121.2026689,30.86920802,21.45887184,1962,0,0,0,0.5,0.214285714,0.071428571,0.214285714
245,121.2206352,30.86920802,14.48105145,1462,0.04,0,0.08,0.4,0.36,0,0.12
246,121.2386015,30.86920802,7.441454887,2528,0.166666667,0,0.083333333,0.25,0.458333333,0,0.041666667
247,121.2565678,30.86920802,16.18536711,763,0.130434783,0,0.043478261,0.565217391,0.130434783,0,0.130434783
248,121.2745341,30.86920802,8.081830978,944,0,0,0.076923077,0.576923077,0.115384615,0,0.230769231
249,121.2925004,30.86920802,27.42668915,1387,0,0,0,0.466666667,0.266666667,0,0.266666667
250,121.3104667,30.86920802,73.74576569,4392,0.064516129,0,0.096774194,0.209677419,0.403225806,0.064516129,0.129032258
251,121.328433,30.86920802,140.559803,6632,0.081395349,0,0.034883721,0.162790698,0.604651163,0,0.104651163
252,121.3463993,30.86920802,50.42481613,3005,0.15,0,0.05,0.3,0.25,0.05,0.2
253,121.3643656,30.86920802,89.15920639,1507,0.03125,0,0.03125,0.1875,0.5,0.03125,0.21875
254,121.3823319,30.86920802,284.4127588,1110,0.071428571,0,0,0.214285714,0.428571429,0.071428571,0.214285714
255,121.4002982,30.86920802,103.5347214,1221,0,0.029411765,0.029411765,0.235294118,0.5,0.176470588,0.029411765
256,121.4182645,30.86920802,15.44064856,2813,0.122807018,0,0.070175439,0.157894737,0.596491228,0.01754386,0.035087719
257,121.4362308,30.86920802,19.05281258,2039,0,0,0.052631579,0.526315789,0.421052632,0,0
258,121.4541971,30.86920802,72.63923264,5109,0.229559748,0.018867925,0.371069182,0.034591195,0.201257862,0.006289308,0.040880503
259,121.4721635,30.86920802,90.43624878,7101,0.102803738,0.014018692,0.135514019,0.065420561,0.626168224,0.004672897,0.028037383
260,121.4901298,30.86920802,84.38963127,5640,0.12295082,0.024590164,0.139344262,0.139344262,0.442622951,0.024590164,0.057377049
261,121.5080961,30.86920802,94.15150452,3095,0.066666667,0,0.022222222,0.2,0.488888889,0.066666667,0.155555556
262,121.5260624,30.86920802,344.5288391,6395,0.108695652,0.016304348,0.070652174,0.076086957,0.668478261,0.032608696,0.010869565
263,121.5440287,30.86920802,154.6537933,7579,0.168224299,0.018691589,0.315086782,0.186915888,0.230974633,0.009345794,0.024032043
264,121.561995,30.86920802,1379.890503,3554,0.211180124,0.02173913,0.254658385,0.288819876,0.124223602,0.01552795,0.043478261
265,121.5799613,30.86920802,72.33376694,768,0.090909091,0.121212121,0.060606061,0,0.272727273,0.060606061,0.181818182
266,121.5979276,30.86920802,6.034216881,721,0.357142857,0,0.142857143,0.071428571,0.142857143,0,0.285714286
267,121.6158939,30.86920802,9.686291695,597,0,0,0,0.333333333,0.5,0,0.166666667
268,121.6338602,30.86920802,4.83973074,1607,0.130952381,0.023809524,0.154761905,0.19047619,0.321428571,0.011904762,0.130952381
